location,specificLocation,time,itemType,crowdLevel,lostCount,weather,dayType
3rd Floor Study Area,3rd Floor Study Area,08:47,phone,low,2,windy,weekday
P and S Cafeteria,P and S Cafeteria,05:09,wallet,low,2,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,22:46,backpack,low,4,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,11:21,waterbottle,medium,9,windy,weekday
New Building Canteen,New Building Canteen,11:27,phone,high,9,cloudy,weekend
Juice Bar,Juice Bar,10:02,waterbottle,medium,6,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,20:46,backpack,high,10,windy,weekday
New Building Canteen,New Building Canteen,14:24,wallet,high,9,sunny,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,12:03,backpack,high,7,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,13:33,waterbottle,medium,3,sunny,weekday
New Building Canteen,New Building Canteen,17:27,phone,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,23:12,card,low,2,cloudy,weekend
Library,Library - 2nd Floor,21:43,laptop,medium,3,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:25,waterbottle,high,10,windy,weekday
New Building Canteen,New Building Canteen,11:49,wallet,medium,4,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,22:25,waterbottle,medium,7,rainy,weekend
Library,Library - 1st Floor,11:26,wallet,medium,2,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,19:06,keys,high,8,windy,weekday
New Building Canteen,New Building Canteen,13:26,waterbottle,high,10,sunny,weekday
Old Library Space,Old Library Space - Computer Section,22:36,wallet,medium,7,windy,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,15:10,document,high,5,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,09:10,keys,medium,6,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,19:11,wallet,high,8,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,17:12,waterbottle,high,7,cloudy,weekday
New Building Canteen,New Building Canteen,16:00,keys,medium,6,cloudy,weekend
Anohana Canteen,Anohana Canteen,13:17,phone,medium,3,rainy,weekend
New Building Canteen,New Building Canteen,18:51,card,high,10,sunny,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,18:41,waterbottle,low,1,windy,weekday
New Building Canteen,New Building Canteen,23:16,waterbottle,medium,4,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,17:29,waterbottle,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,22:32,waterbottle,high,10,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,08:21,wallet,medium,5,rainy,weekend
New Building Canteen,New Building Canteen,08:34,backpack,high,10,rainy,weekday
P and S Cafeteria,P and S Cafeteria,08:10,wallet,high,10,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,10:57,backpack,high,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,23:07,waterbottle,medium,5,sunny,weekday
New Building Canteen,New Building Canteen,04:56,backpack,medium,8,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,21:16,waterbottle,medium,7,windy,weekday
3rd Floor Study Area,3rd Floor Study Area,21:57,phone,medium,6,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,18:59,card,medium,7,windy,weekday
Juice Bar,Juice Bar,19:50,card,medium,6,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,06:54,phone,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,07:31,wallet,high,9,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,07:48,waterbottle,medium,6,rainy,weekday
New Building Canteen,New Building Canteen,21:37,card,medium,1,windy,weekday
Basement Canteen,Basement Canteen,18:55,document,low,2,windy,weekday
P and S Cafeteria,P and S Cafeteria,09:11,backpack,medium,6,sunny,weekend
Anohana Canteen,Anohana Canteen,00:16,keys,high,8,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:17,waterbottle,high,10,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,13:25,waterbottle,high,10,rainy,weekday
Juice Bar,Juice Bar,09:14,card,medium,6,cloudy,weekday
Anohana Canteen,Anohana Canteen,21:19,keys,low,3,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,14:40,phone,medium,5,windy,weekday
Juice Bar,Juice Bar,15:22,card,medium,8,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,13:51,card,high,10,sunny,weekday
Old Library Space,Old Library Space - Reference Section,07:13,card,low,10,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,20:14,waterbottle,high,10,sunny,weekday
Juice Bar,Juice Bar,16:32,waterbottle,low,2,sunny,weekend
Bird Nest Study Area,Bird Nest Study Area,09:42,wallet,medium,5,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,15:23,waterbottle,high,9,sunny,weekday
P and S Cafeteria,P and S Cafeteria,11:45,laptop,low,10,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,10:38,card,low,1,cloudy,weekday
New Building Canteen,New Building Canteen,14:40,waterbottle,high,10,windy,weekday
Juice Bar,Juice Bar,09:38,card,low,3,cloudy,weekend
Old Library Space,Old Library Space - Computer Section,10:11,wallet,high,3,windy,weekend
Old Library Space,Old Library Space - Computer Section,11:53,laptop,medium,2,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,15:54,waterbottle,medium,8,windy,weekend
Business Faculty Study Area,Business Faculty Study Area,07:19,keys,low,6,sunny,weekday
3rd Floor Study Area,3rd Floor Study Area,16:05,keys,high,9,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,17:08,waterbottle,medium,8,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,20:54,waterbottle,low,2,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,14:34,waterbottle,high,10,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,08:21,phone,medium,9,sunny,weekday
New Building Canteen,New Building Canteen,12:08,wallet,high,10,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,21:03,waterbottle,medium,5,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,10:10,keys,medium,4,sunny,weekend
Old Library Space,Old Library Space - Reference Section,11:38,document,medium,7,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,08:05,keys,high,7,windy,weekday
Anohana Canteen,Anohana Canteen,03:50,waterbottle,medium,5,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,16:00,laptop,high,7,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:05,backpack,high,10,cloudy,weekend
Anohana Canteen,Anohana Canteen,07:49,wallet,high,4,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:26,laptop,high,5,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,17:58,wallet,high,3,sunny,weekday
Library,Library - 1st Floor,19:47,backpack,medium,9,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,12:15,keys,high,8,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,15:51,laptop,high,7,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,19:55,keys,medium,7,sunny,weekday
Old Library Space,Old Library Space - Reference Section,16:12,phone,high,10,windy,weekday
Library,Library - 1st Floor,16:19,waterbottle,high,9,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,18:20,wallet,low,2,windy,weekend
New Building Canteen,New Building Canteen,18:24,waterbottle,high,9,cloudy,weekday
Library,Library - 2nd Floor,12:25,phone,medium,3,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,06:21,waterbottle,low,1,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,07:15,phone,high,9,sunny,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,00:17,waterbottle,medium,7,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:56,wallet,medium,7,sunny,weekday
P and S Cafeteria,P and S Cafeteria,17:51,backpack,high,9,rainy,weekend
Library,Library - 2nd Floor,17:03,keys,medium,4,sunny,weekday
New Building Canteen,New Building Canteen,17:25,wallet,medium,5,sunny,weekend
Juice Bar,Juice Bar,22:25,card,low,2,sunny,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,09:58,waterbottle,medium,6,sunny,weekday
P and S Cafeteria,P and S Cafeteria,19:56,wallet,high,8,cloudy,weekday
Juice Bar,Juice Bar,20:28,wallet,low,2,sunny,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:56,wallet,low,4,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,19:42,keys,medium,4,windy,weekday
Library,Library - 1st Floor,23:00,waterbottle,low,2,windy,weekend
New Building Canteen,New Building Canteen,09:59,wallet,high,10,cloudy,weekday
New Building Canteen,New Building Canteen,20:34,phone,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,22:14,waterbottle,medium,9,cloudy,weekend
Juice Bar,Juice Bar,14:24,waterbottle,medium,5,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,19:14,card,high,10,cloudy,weekend
Old Library Space,Old Library Space - Reading Room,08:00,waterbottle,medium,6,rainy,weekend
P and S Cafeteria,P and S Cafeteria,17:11,waterbottle,high,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,14:35,backpack,high,10,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,08:34,laptop,medium,3,sunny,weekday
P and S Cafeteria,P and S Cafeteria,06:45,backpack,medium,9,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,16:36,wallet,high,7,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,19:56,backpack,high,10,sunny,weekday
New Building Canteen,New Building Canteen,13:51,waterbottle,high,10,sunny,weekday
Juice Bar,Juice Bar,13:28,keys,medium,7,windy,weekday
Old Library Space,Old Library Space - Computer Section,21:08,wallet,medium,10,cloudy,weekday
Library,Library - 2nd Floor,11:13,phone,medium,8,sunny,weekday
Library,Library - 1st Floor,11:01,phone,high,6,windy,weekend
3rd Floor Study Area,3rd Floor Study Area,05:48,document,high,7,sunny,weekday
Old Library Space,Old Library Space - Computer Section,10:50,waterbottle,medium,7,rainy,weekday
Library,Library - 2nd Floor,14:31,keys,medium,7,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,02:16,wallet,medium,5,cloudy,weekday
Juice Bar,Juice Bar,17:30,document,low,5,sunny,weekend
Library,Library - 1st Floor,08:19,keys,medium,3,sunny,weekday
Library,Library - 2nd Floor,20:28,keys,medium,6,windy,weekday
Library,Library - 2nd Floor,20:52,laptop,medium,7,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,12:17,backpack,medium,7,windy,weekday
Juice Bar,Juice Bar,14:06,phone,low,2,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,10:00,waterbottle,high,6,windy,weekday
Anohana Canteen,Anohana Canteen,10:18,waterbottle,medium,1,cloudy,weekday
New Building Canteen,New Building Canteen,20:20,wallet,high,6,sunny,weekday
Library,Library - 2nd Floor,11:43,phone,medium,3,sunny,weekday
Library,Library - 2nd Floor,03:30,keys,medium,3,rainy,weekday
Juice Bar,Juice Bar,17:39,waterbottle,medium,6,windy,weekday
Basement Canteen,Basement Canteen,12:21,backpack,high,10,cloudy,weekday
Library,Library - 2nd Floor,17:00,waterbottle,medium,5,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,09:41,card,medium,10,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,11:12,backpack,high,10,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,18:47,backpack,medium,9,windy,weekend
Juice Bar,Juice Bar,20:54,laptop,medium,3,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,09:36,card,medium,8,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,21:23,backpack,high,8,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,10:40,wallet,high,6,windy,weekday
3rd Floor Study Area,3rd Floor Study Area,10:06,card,high,5,rainy,weekend
New Building Canteen,New Building Canteen,13:22,waterbottle,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,08:44,phone,high,10,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:52,waterbottle,high,7,sunny,weekday
Old Library Space,Old Library Space - Computer Section,19:20,keys,medium,5,cloudy,weekday
New Building Canteen,New Building Canteen,14:23,waterbottle,high,10,rainy,weekday
New Building Canteen,New Building Canteen,07:19,wallet,high,10,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,09:11,laptop,medium,6,cloudy,weekend
3rd Floor Study Area,3rd Floor Study Area,14:25,wallet,medium,8,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,08:51,laptop,medium,7,rainy,weekend
New Building Canteen,New Building Canteen,09:09,laptop,medium,9,windy,weekday
Old Library Space,Old Library Space - Reading Room,19:26,keys,low,5,windy,weekend
New Building Canteen,New Building Canteen,12:07,keys,high,10,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,13:15,card,high,10,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,07:58,phone,low,1,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,12:24,waterbottle,high,8,windy,weekday
Juice Bar,Juice Bar,14:37,waterbottle,medium,9,sunny,weekday
Library,Library - 1st Floor,07:33,waterbottle,low,3,rainy,weekend
P and S Cafeteria,P and S Cafeteria,12:18,wallet,high,10,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,14:38,waterbottle,high,8,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,21:46,laptop,low,1,windy,weekend
New Building Canteen,New Building Canteen,10:33,wallet,high,8,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,14:46,keys,high,10,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,14:33,phone,high,8,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,01:45,wallet,high,9,sunny,weekday
New Building Canteen,New Building Canteen,21:15,laptop,medium,7,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,12:07,card,high,10,sunny,weekday
Library,Library - 2nd Floor,09:58,card,medium,9,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,10:30,wallet,high,6,windy,weekday
New Building Canteen,New Building Canteen,12:11,wallet,high,7,cloudy,weekday
Library,Library - 2nd Floor,10:02,phone,medium,8,rainy,weekend
Library,Library - 1st Floor,17:19,waterbottle,medium,7,rainy,weekend
P and S Cafeteria,P and S Cafeteria,09:44,card,high,10,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,19:41,waterbottle,medium,7,cloudy,weekday
Juice Bar,Juice Bar,15:05,waterbottle,low,5,sunny,weekend
Bird Nest Study Area,Bird Nest Study Area,17:03,phone,medium,5,cloudy,weekday
Library,Library - 2nd Floor,17:42,waterbottle,medium,5,cloudy,weekday
Library,Library - 2nd Floor,13:42,wallet,high,5,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:00,document,medium,8,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,11:42,waterbottle,high,8,windy,weekday
P and S Cafeteria,P and S Cafeteria,14:24,waterbottle,medium,10,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,14:53,wallet,medium,3,sunny,weekday
Juice Bar,Juice Bar,09:15,phone,medium,5,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,21:26,wallet,medium,6,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,18:51,backpack,high,8,windy,weekday
Anohana Canteen,Anohana Canteen,11:34,waterbottle,medium,5,sunny,weekday
Library,Library - 1st Floor,21:46,waterbottle,medium,8,rainy,weekday
P and S Cafeteria,P and S Cafeteria,18:22,keys,high,10,rainy,weekend
New Building Canteen,New Building Canteen,12:47,backpack,high,10,cloudy,weekday
3rd Floor Study Area,3rd Floor Study Area,11:05,phone,medium,3,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,11:11,wallet,medium,4,cloudy,weekday
Library,Library - 2nd Floor,13:45,backpack,medium,10,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,13:09,wallet,high,6,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,21:45,backpack,medium,5,rainy,weekday
3rd Floor Study Area,3rd Floor Study Area,10:35,backpack,high,9,windy,weekday
Juice Bar,Juice Bar,18:55,phone,low,2,windy,weekday
New Building Canteen,New Building Canteen,18:51,waterbottle,high,10,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,16:13,wallet,high,1,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,11:46,waterbottle,medium,5,cloudy,weekend
3rd Floor Study Area,3rd Floor Study Area,06:27,phone,low,2,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,13:31,phone,high,10,sunny,weekday
P and S Cafeteria,P and S Cafeteria,10:14,laptop,high,7,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,10:48,wallet,high,7,windy,weekday
Old Library Space,Old Library Space - Computer Section,17:09,phone,high,10,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,15:48,keys,high,6,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,12:20,waterbottle,high,10,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,11:53,waterbottle,high,9,sunny,weekday
Library,Library - 1st Floor,17:18,waterbottle,medium,4,cloudy,weekday
Library,Library - 2nd Floor,01:17,document,high,6,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,10:26,wallet,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:54,waterbottle,high,9,windy,weekday
Library,Library - 2nd Floor,17:03,waterbottle,high,8,cloudy,weekday
New Building Canteen,New Building Canteen,20:11,phone,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,21:22,backpack,medium,4,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,16:17,phone,medium,8,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,20:10,backpack,medium,8,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,08:54,phone,high,10,windy,weekday
Library,Library - 2nd Floor,02:53,backpack,high,1,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:48,wallet,medium,5,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,02:40,wallet,high,1,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,08:02,backpack,high,10,sunny,weekday
Juice Bar,Juice Bar,19:18,phone,medium,6,cloudy,weekday
New Building Canteen,New Building Canteen,18:28,backpack,high,10,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,10:09,wallet,high,10,windy,weekday
New Building Canteen,New Building Canteen,19:26,card,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,15:15,wallet,medium,5,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,18:46,phone,high,9,sunny,weekday
P and S Cafeteria,P and S Cafeteria,08:52,waterbottle,high,9,windy,weekday
Old Library Space,Old Library Space - Reference Section,12:47,phone,medium,6,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,16:03,phone,high,10,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:09,waterbottle,medium,5,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,10:20,laptop,medium,6,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:08,waterbottle,medium,5,windy,weekday
P and S Cafeteria,P and S Cafeteria,19:42,card,high,10,rainy,weekday
New Building Canteen,New Building Canteen,19:52,keys,high,10,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,21:09,phone,medium,4,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,13:04,waterbottle,high,10,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:37,keys,high,7,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:48,wallet,medium,6,windy,weekday
P and S Cafeteria,P and S Cafeteria,12:57,waterbottle,high,10,rainy,weekend
Juice Bar,Juice Bar,13:39,wallet,medium,3,windy,weekday
Library,Library - 2nd Floor,14:02,laptop,medium,5,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,11:23,waterbottle,medium,8,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,21:29,card,low,2,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,17:08,wallet,low,5,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,23:52,phone,low,1,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,09:36,phone,high,8,sunny,weekday
Library,Library - 1st Floor,14:22,waterbottle,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,12:05,keys,high,9,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,09:37,card,high,7,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,20:14,phone,medium,9,sunny,weekday
Juice Bar,Juice Bar,08:55,wallet,medium,6,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,06:11,backpack,medium,6,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,09:53,phone,medium,7,rainy,weekday
Juice Bar,Juice Bar,08:11,card,low,2,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,13:09,phone,high,9,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,19:42,waterbottle,high,7,cloudy,weekday
3rd Floor Study Area,3rd Floor Study Area,14:09,wallet,medium,5,sunny,weekend
Juice Bar,Juice Bar,14:23,backpack,medium,6,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,11:17,waterbottle,high,6,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,19:42,keys,medium,7,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,12:05,document,high,9,sunny,weekday
Library,Library - 2nd Floor,12:37,keys,medium,7,rainy,weekday
3rd Floor Study Area,3rd Floor Study Area,09:38,waterbottle,medium,5,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,08:47,document,high,8,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,15:35,keys,high,10,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,07:50,backpack,high,10,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,17:24,phone,high,10,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:19,wallet,high,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:41,waterbottle,medium,8,rainy,weekend
Library,Library - 1st Floor,20:27,wallet,medium,2,cloudy,weekday
Anohana Canteen,Anohana Canteen,02:51,keys,high,3,rainy,weekday
Juice Bar,Juice Bar,09:53,phone,medium,7,sunny,weekday
Library,Library - 1st Floor,13:39,waterbottle,high,10,windy,weekday
New Building Canteen,New Building Canteen,15:52,card,medium,8,cloudy,weekend
New Building Canteen,New Building Canteen,15:02,wallet,medium,4,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,14:03,waterbottle,high,9,rainy,weekend
Library,Library - 2nd Floor,20:39,keys,medium,9,cloudy,weekday
Juice Bar,Juice Bar,07:00,waterbottle,low,2,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,07:26,waterbottle,high,9,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,11:19,waterbottle,medium,5,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,03:49,keys,high,10,rainy,weekday
Library,Library - 2nd Floor,09:12,backpack,high,8,windy,weekday
Library,Library - 1st Floor,11:13,waterbottle,high,8,cloudy,weekday
3rd Floor Study Area,3rd Floor Study Area,12:27,document,medium,4,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,20:03,card,high,10,rainy,weekday
Library,Library - 1st Floor,13:40,backpack,low,3,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,17:46,phone,high,8,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,11:30,keys,high,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,13:40,document,medium,7,rainy,weekday
P and S Cafeteria,P and S Cafeteria,09:27,waterbottle,high,10,sunny,weekday
P and S Cafeteria,P and S Cafeteria,02:47,document,low,10,cloudy,weekday
New Building Canteen,New Building Canteen,17:37,waterbottle,high,8,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,11:16,keys,medium,8,windy,weekday
Library,Library - 2nd Floor,13:58,keys,medium,8,rainy,weekday
Library,Library - 1st Floor,14:36,wallet,medium,2,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,04:12,document,high,8,cloudy,weekend
New Building Canteen,New Building Canteen,09:26,wallet,high,8,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,16:55,phone,medium,7,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:07,wallet,high,5,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,19:18,backpack,high,8,sunny,weekday
Library,Library - 1st Floor,16:56,laptop,medium,6,rainy,weekend
P and S Cafeteria,P and S Cafeteria,20:15,laptop,high,7,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,23:31,laptop,medium,4,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,20:54,waterbottle,medium,5,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,06:43,keys,high,8,cloudy,weekday
New Building Canteen,New Building Canteen,14:58,waterbottle,high,9,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,13:51,phone,high,8,sunny,weekend
New Building Canteen,New Building Canteen,17:21,keys,high,6,cloudy,weekend
Juice Bar,Juice Bar,01:26,laptop,medium,4,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:27,wallet,high,8,sunny,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,22:27,keys,medium,8,windy,weekday
New Building Canteen,New Building Canteen,18:00,waterbottle,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:40,waterbottle,medium,4,sunny,weekday
New Building Canteen,New Building Canteen,16:02,laptop,high,7,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,16:52,wallet,medium,4,cloudy,weekend
Juice Bar,Juice Bar,11:42,card,high,10,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,17:37,waterbottle,high,7,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,12:19,waterbottle,medium,7,sunny,weekend
Library,Library - 1st Floor,22:26,waterbottle,medium,4,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:15,wallet,medium,3,sunny,weekend
Library,Library - 1st Floor,17:30,phone,low,2,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,22:19,waterbottle,high,8,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,08:41,waterbottle,low,5,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:29,card,medium,7,sunny,weekend
New Building Canteen,New Building Canteen,12:13,waterbottle,high,10,rainy,weekday
Library,Library - 1st Floor,19:22,waterbottle,medium,9,sunny,weekend
New Building Canteen,New Building Canteen,07:20,keys,high,10,sunny,weekday
New Building Canteen,New Building Canteen,08:22,waterbottle,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,12:24,waterbottle,high,10,windy,weekday
P and S Cafeteria,P and S Cafeteria,12:54,waterbottle,high,9,windy,weekday
P and S Cafeteria,P and S Cafeteria,10:47,keys,high,8,sunny,weekend
P and S Cafeteria,P and S Cafeteria,07:33,keys,high,8,cloudy,weekday
Basement Canteen,Basement Canteen,10:34,keys,medium,10,rainy,weekend
P and S Cafeteria,P and S Cafeteria,13:33,keys,low,10,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,21:02,phone,medium,5,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,09:27,wallet,medium,3,rainy,weekend
Library,Library - 1st Floor,02:55,laptop,high,2,rainy,weekday
