location,time,itemType,crowdLevel,lostCount,weather,dayType,timestamp,incident_occurred,reported_at
Library,15:26,other,high,2,rainy,weekday,2024-11-25 15:26:37,,
P and S Cafeteria,15:50,wallet,high,4,cloudy,weekday,2024-11-25 15:50:08,,
Juice Bar,16:01,bag,medium,5,cloudy,weekday,2024-11-25 16:01:53,,
Old Library Space,16:13,laptop,high,3,sunny,weekday,2024-11-25 16:13:36,,
New Building Bio Laboratory outside space Storage Cabins,16:20,other,medium,1,sunny,weekday,2024-11-25 16:20:51,,
Main Building 5th floor outside space Storage Cabin,16:31,keys,medium,1,cloudy,weekday,2024-11-25 16:31:20,,
New Building Canteen,16:36,bag,high,1,cloudy,weekday,2024-11-25 16:36:34,,
P and S Cafeteria,16:39,wallet,high,5,stormy,weekday,2024-11-25 16:39:43,,
Bird Nest Canteen,16:40,bag,medium,2,cloudy,weekday,2024-11-25 16:40:49,,
Anohana Canteen,16:48,phone,high,7,sunny,weekday,2024-11-25 16:48:34,,
Library outdoor Space storage,16:49,phone,high,1,rainy,weekday,2024-11-25 16:49:14,,
Basement Canteen,16:52,phone,high,5,rainy,weekday,2024-11-25 16:52:40,,
Business Faculty Study Area,16:58,bag,medium,2,cloudy,weekday,2024-11-25 16:58:46,,
Bird Nest Study Area,17:04,phone,high,1,sunny,weekday,2024-11-25 17:04:52,,
P and S Cafeteria,17:35,phone,medium,3,sunny,weekday,2024-11-25 17:35:41,,
3rd Floor Study Area,17:57,keys,high,1,sunny,weekday,2024-11-25 17:57:38,,
Study Area 4th Floor New Building,17:58,document,high,2,sunny,weekday,2024-11-25 17:58:30,,
P and S Cafeteria,18:27,bag,low,3,stormy,weekday,2024-11-25 18:27:59,,
Library,18:30,keys,low,6,cloudy,weekday,2024-11-25 18:30:22,,
Old Library Space,19:12,laptop,low,2,rainy,weekday,2024-11-25 19:12:09,,
Bird Nest Study Area,19:16,phone,low,1,cloudy,weekday,2024-11-25 19:16:46,,
P and S Cafeteria,19:39,bag,low,10,cloudy,weekday,2024-11-25 19:39:17,,
Library,21:16,laptop,low,1,sunny,weekday,2024-11-25 21:16:12,,
Anohana Canteen,08:03,other,very_high,4,cloudy,weekday,2024-11-26 08:03:31,,
Main Building 5th floor outside space Storage Cabin,08:34,document,very_high,1,sunny,weekday,2024-11-26 08:34:47,,
Library,08:38,phone,very_high,4,sunny,weekday,2024-11-26 08:38:03,,
New Building Bio Laboratory outside space Storage Cabins,08:38,other,very_high,3,rainy,weekday,2024-11-26 08:38:35,,
P and S Cafeteria,08:47,wallet,very_high,10,stormy,weekday,2024-11-26 08:47:31,,
Bird Nest Study Area,08:55,document,very_high,2,sunny,weekday,2024-11-26 08:55:36,,
Business Faculty Study Area,09:12,keys,high,3,cloudy,weekday,2024-11-26 09:12:26,,
Bird Nest Canteen,09:12,phone,medium,5,stormy,weekday,2024-11-26 09:12:31,,
Juice Bar,09:18,laptop,high,3,sunny,weekday,2024-11-26 09:18:43,,
Anohana Canteen,09:30,bag,high,6,sunny,weekday,2024-11-26 09:30:31,,
Basement Canteen,09:36,bag,high,4,cloudy,weekday,2024-11-26 09:36:45,,
P and S Cafeteria,09:46,keys,medium,9,sunny,weekday,2024-11-26 09:46:33,,
Study Area 4th Floor New Building,10:30,phone,high,2,sunny,weekday,2024-11-26 10:30:09,,
Library outdoor Space storage,10:30,keys,high,2,sunny,weekday,2024-11-26 10:30:17,,
Old Library Space,10:32,laptop,medium,2,cloudy,weekday,2024-11-26 10:32:14,,
Anohana Canteen,10:32,phone,high,10,stormy,weekday,2024-11-26 10:32:41,,
New Building Canteen,10:38,laptop,high,1,sunny,weekday,2024-11-26 10:38:54,,
Bird Nest Canteen,10:41,laptop,medium,4,cloudy,weekday,2024-11-26 10:41:31,,
P and S Cafeteria,10:49,other,medium,15,rainy,weekday,2024-11-26 10:49:09,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,11:14,bag,medium,1,stormy,weekday,2024-11-26 11:14:20,,
Juice Bar,11:14,bag,medium,2,stormy,weekday,2024-11-26 11:14:54,,
3rd Floor Study Area,11:29,bag,high,2,sunny,weekday,2024-11-26 11:29:47,,
Anohana Canteen,11:30,keys,high,6,sunny,weekday,2024-11-26 11:30:13,,
Business Faculty Study Area,11:31,keys,medium,1,cloudy,weekday,2024-11-26 11:31:29,,
Library,11:37,phone,medium,4,cloudy,weekday,2024-11-26 11:37:45,,
Basement Canteen,11:51,phone,high,3,cloudy,weekday,2024-11-26 11:51:54,,
Bird Nest Study Area,11:52,other,high,3,rainy,weekday,2024-11-26 11:52:32,,
Bird Nest Canteen,12:02,document,very_high,6,sunny,weekday,2024-11-26 12:02:51,,
P and S Cafeteria,12:11,laptop,very_high,7,cloudy,weekday,2024-11-26 12:11:02,,
Anohana Canteen,12:36,other,very_high,5,sunny,weekday,2024-11-26 12:36:54,,
Old Library Space,12:43,other,very_high,2,sunny,weekday,2024-11-26 12:43:25,,
Bird Nest Canteen,13:03,wallet,very_high,3,sunny,weekday,2024-11-26 13:03:38,,
Juice Bar,13:05,wallet,very_high,4,sunny,weekday,2024-11-26 13:05:28,,
New Building Canteen,13:11,bag,very_high,7,rainy,weekday,2024-11-26 13:11:41,,
P and S Cafeteria,13:17,bag,very_high,10,cloudy,weekday,2024-11-26 13:17:52,,
Anohana Canteen,13:39,phone,very_high,11,cloudy,weekday,2024-11-26 13:39:49,,
Business Faculty Study Area,13:55,other,very_high,1,sunny,weekday,2024-11-26 13:55:14,,
Basement Canteen,13:58,laptop,very_high,5,stormy,weekday,2024-11-26 13:58:51,,
Study Area 4th Floor New Building,14:10,wallet,high,3,rainy,weekday,2024-11-26 14:10:38,,
P and S Cafeteria,14:10,document,high,7,sunny,weekday,2024-11-26 14:10:47,,
Library,14:20,keys,medium,4,rainy,weekday,2024-11-26 14:20:54,,
Bird Nest Study Area,14:21,other,medium,1,sunny,weekday,2024-11-26 14:21:44,,
3rd Floor Study Area,14:33,keys,high,3,stormy,weekday,2024-11-26 14:33:08,,
Bird Nest Canteen,14:35,phone,high,4,sunny,weekday,2024-11-26 14:35:19,,
Main Building 5th floor outside space Storage Cabin,14:36,bag,medium,1,cloudy,weekday,2024-11-26 14:36:02,,
New Building Bio Laboratory outside space Storage Cabins,14:38,phone,medium,4,sunny,weekday,2024-11-26 14:38:27,,
Library outdoor Space storage,14:38,phone,high,1,sunny,weekday,2024-11-26 14:38:28,,
Old Library Space,14:49,laptop,high,2,sunny,weekday,2024-11-26 14:49:56,,
New Building Canteen,15:04,wallet,high,8,sunny,weekday,2024-11-26 15:04:22,,
Juice Bar,15:09,phone,high,6,sunny,weekday,2024-11-26 15:09:08,,
P and S Cafeteria,15:16,phone,medium,1,cloudy,weekday,2024-11-26 15:16:30,,
Anohana Canteen,15:20,laptop,high,6,cloudy,weekday,2024-11-26 15:20:16,,
Basement Canteen,15:53,document,high,4,cloudy,weekday,2024-11-26 15:53:42,,
P and S Cafeteria,16:13,document,high,12,stormy,weekday,2024-11-26 16:13:38,,
Bird Nest Canteen,16:17,phone,medium,5,sunny,weekday,2024-11-26 16:17:02,,
Business Faculty Study Area,16:18,wallet,high,1,sunny,weekday,2024-11-26 16:18:15,,
Anohana Canteen,16:23,keys,medium,7,sunny,weekday,2024-11-26 16:23:13,,
Library,16:31,bag,high,1,stormy,weekday,2024-11-26 16:31:20,,
Juice Bar,16:44,other,high,10,sunny,weekday,2024-11-26 16:44:45,,
Study Area 4th Floor New Building,16:57,document,medium,2,cloudy,weekday,2024-11-26 16:57:54,,
P and S Cafeteria,17:02,document,medium,7,rainy,weekday,2024-11-26 17:02:53,,
Bird Nest Study Area,17:15,wallet,high,3,rainy,weekday,2024-11-26 17:15:04,,
Bird Nest Canteen,17:41,document,high,9,sunny,weekday,2024-11-26 17:41:21,,
Anohana Canteen,17:43,keys,medium,4,cloudy,weekday,2024-11-26 17:43:07,,
3rd Floor Study Area,17:49,bag,high,3,rainy,weekday,2024-11-26 17:49:45,,
Old Library Space,18:06,bag,low,1,sunny,weekday,2024-11-26 18:06:44,,
P and S Cafeteria,18:13,wallet,low,8,cloudy,weekday,2024-11-26 18:13:50,,
Library,18:49,laptop,low,4,sunny,weekday,2024-11-26 18:49:57,,
Business Faculty Study Area,18:55,other,low,4,cloudy,weekday,2024-11-26 18:55:27,,
P and S Cafeteria,19:07,phone,low,6,sunny,weekday,2024-11-26 19:07:46,,
Study Area 4th Floor New Building,19:22,wallet,low,4,sunny,weekday,2024-11-26 19:22:44,,
Library,21:50,bag,low,3,rainy,weekday,2024-11-26 21:50:43,,
Library,08:06,phone,very_high,3,rainy,weekday,2024-11-27 08:06:04,,
Bird Nest Canteen,08:11,bag,very_high,2,sunny,weekday,2024-11-27 08:11:31,,
P and S Cafeteria,08:50,bag,very_high,10,sunny,weekday,2024-11-27 08:50:40,,
Bird Nest Study Area,09:03,wallet,high,2,rainy,weekday,2024-11-27 09:03:11,,
New Building Canteen,09:03,wallet,medium,1,cloudy,weekday,2024-11-27 09:03:57,,
Juice Bar,09:05,keys,medium,5,cloudy,weekday,2024-11-27 09:05:59,,
Anohana Canteen,09:34,bag,high,6,sunny,weekday,2024-11-27 09:34:44,,
Bird Nest Canteen,09:36,document,high,4,cloudy,weekday,2024-11-27 09:36:39,,
Old Library Space,09:44,bag,medium,5,sunny,weekday,2024-11-27 09:44:59,,
P and S Cafeteria,09:55,laptop,high,7,sunny,weekday,2024-11-27 09:55:50,,
Library,10:02,bag,high,5,stormy,weekday,2024-11-27 10:02:19,,
Basement Canteen,10:25,keys,high,8,rainy,weekday,2024-11-27 10:25:01,,
New Building Bio Laboratory outside space Storage Cabins,10:25,wallet,high,1,stormy,weekday,2024-11-27 10:25:40,,
Business Faculty Study Area,10:34,wallet,medium,4,sunny,weekday,2024-11-27 10:34:25,,
Anohana Canteen,10:36,document,high,8,cloudy,weekday,2024-11-27 10:36:26,,
P and S Cafeteria,10:53,bag,high,13,cloudy,weekday,2024-11-27 10:53:35,,
Bird Nest Canteen,11:01,bag,medium,3,rainy,weekday,2024-11-27 11:01:11,,
Study Area 4th Floor New Building,11:01,wallet,medium,2,sunny,weekday,2024-11-27 11:01:45,,
New Building Canteen,11:02,phone,medium,4,sunny,weekday,2024-11-27 11:02:26,,
Anohana Canteen,11:31,bag,high,2,cloudy,weekday,2024-11-27 11:31:13,,
3rd Floor Study Area,11:37,laptop,high,3,stormy,weekday,2024-11-27 11:37:06,,
Juice Bar,11:47,bag,high,4,stormy,weekday,2024-11-27 11:47:10,,
Library,12:09,wallet,very_high,5,sunny,weekday,2024-11-27 12:09:10,,
Basement Canteen,12:15,laptop,very_high,5,cloudy,weekday,2024-11-27 12:15:10,,
P and S Cafeteria,12:18,other,very_high,6,sunny,weekday,2024-11-27 12:18:06,,
Bird Nest Study Area,12:36,wallet,very_high,2,cloudy,weekday,2024-11-27 12:36:12,,
Bird Nest Canteen,12:41,laptop,very_high,5,sunny,weekday,2024-11-27 12:41:18,,
Anohana Canteen,12:46,other,very_high,5,rainy,weekday,2024-11-27 12:46:13,,
Old Library Space,12:51,other,very_high,4,cloudy,weekday,2024-11-27 12:51:03,,
P and S Cafeteria,13:17,document,very_high,8,stormy,weekday,2024-11-27 13:17:13,,
New Building Canteen,13:26,laptop,very_high,5,sunny,weekday,2024-11-27 13:26:25,,
Basement Canteen,13:31,keys,very_high,6,rainy,weekday,2024-11-27 13:31:53,,
Business Faculty Study Area,13:43,other,very_high,4,sunny,weekday,2024-11-27 13:43:33,,
Juice Bar,13:43,wallet,very_high,5,rainy,weekday,2024-11-27 13:43:49,,
Bird Nest Canteen,13:49,document,very_high,4,stormy,weekday,2024-11-27 13:49:35,,
Main Building 5th floor outside space Storage Cabin,13:57,document,very_high,1,cloudy,weekday,2024-11-27 13:57:13,,
Library,14:02,other,high,2,sunny,weekday,2024-11-27 14:02:53,,
Anohana Canteen,14:17,other,medium,2,cloudy,weekday,2024-11-27 14:17:22,,
P and S Cafeteria,14:34,document,medium,6,cloudy,weekday,2024-11-27 14:34:32,,
Library outdoor Space storage,14:42,keys,high,1,sunny,weekday,2024-11-27 14:42:51,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,14:51,document,medium,2,sunny,weekday,2024-11-27 14:51:27,,
Study Area 4th Floor New Building,14:58,other,high,2,stormy,weekday,2024-11-27 14:58:16,,
Bird Nest Study Area,15:03,document,high,1,sunny,weekday,2024-11-27 15:03:45,,
Basement Canteen,15:12,document,high,2,rainy,weekday,2024-11-27 15:12:59,,
3rd Floor Study Area,15:16,document,high,1,sunny,weekday,2024-11-27 15:16:45,,
Juice Bar,15:20,wallet,medium,4,cloudy,weekday,2024-11-27 15:20:16,,
Anohana Canteen,15:22,keys,high,4,stormy,weekday,2024-11-27 15:22:32,,
P and S Cafeteria,15:28,wallet,medium,7,rainy,weekday,2024-11-27 15:28:38,,
Bird Nest Canteen,15:30,laptop,high,6,cloudy,weekday,2024-11-27 15:30:21,,
New Building Canteen,15:45,other,medium,3,sunny,weekday,2024-11-27 15:45:19,,
Library,15:52,document,medium,1,stormy,weekday,2024-11-27 15:52:22,,
Old Library Space,15:52,phone,high,4,rainy,weekday,2024-11-27 15:52:47,,
Business Faculty Study Area,16:09,laptop,high,2,cloudy,weekday,2024-11-27 16:09:46,,
Basement Canteen,16:35,laptop,high,5,sunny,weekday,2024-11-27 16:35:36,,
Bird Nest Canteen,16:40,document,high,5,sunny,weekday,2024-11-27 16:40:02,,
P and S Cafeteria,16:45,phone,high,6,cloudy,weekday,2024-11-27 16:45:14,,
Anohana Canteen,16:53,phone,high,8,cloudy,weekday,2024-11-27 16:53:38,,
Bird Nest Study Area,17:13,laptop,high,2,cloudy,weekday,2024-11-27 17:13:42,,
New Building Bio Laboratory outside space Storage Cabins,17:42,bag,high,1,sunny,weekday,2024-11-27 17:42:17,,
Study Area 4th Floor New Building,17:50,keys,medium,4,stormy,weekday,2024-11-27 17:50:42,,
3rd Floor Study Area,18:03,laptop,low,3,rainy,weekday,2024-11-27 18:03:10,,
P and S Cafeteria,18:08,laptop,low,3,cloudy,weekday,2024-11-27 18:08:47,,
Library,18:21,keys,low,3,rainy,weekday,2024-11-27 18:21:25,,
Old Library Space,18:40,wallet,low,1,rainy,weekday,2024-11-27 18:40:04,,
P and S Cafeteria,19:26,other,low,5,rainy,weekday,2024-11-27 19:26:34,,
Library,20:47,document,low,2,stormy,weekday,2024-11-27 20:47:34,,
P and S Cafeteria,08:02,wallet,very_high,6,cloudy,weekday,2024-11-28 08:02:10,,
Library,08:12,laptop,very_high,4,sunny,weekday,2024-11-28 08:12:21,,
Bird Nest Canteen,08:25,laptop,very_high,8,sunny,weekday,2024-11-28 08:25:59,,
Old Library Space,08:57,document,very_high,1,stormy,weekday,2024-11-28 08:57:46,,
Study Area 4th Floor New Building,09:01,phone,high,3,rainy,weekday,2024-11-28 09:01:30,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,09:04,bag,high,2,sunny,weekday,2024-11-28 09:04:39,,
P and S Cafeteria,09:09,other,high,9,cloudy,weekday,2024-11-28 09:09:32,,
Anohana Canteen,09:09,bag,medium,6,sunny,weekday,2024-11-28 09:09:54,,
Bird Nest Study Area,09:22,bag,medium,4,sunny,weekday,2024-11-28 09:22:26,,
Business Faculty Study Area,09:28,document,medium,1,rainy,weekday,2024-11-28 09:28:29,,
Bird Nest Canteen,09:56,document,high,3,rainy,weekday,2024-11-28 09:56:31,,
Basement Canteen,10:08,other,high,4,cloudy,weekday,2024-11-28 10:08:54,,
Main Building 5th floor outside space Storage Cabin,10:10,bag,high,2,stormy,weekday,2024-11-28 10:10:31,,
P and S Cafeteria,10:17,other,high,7,rainy,weekday,2024-11-28 10:17:16,,
Juice Bar,10:22,bag,high,5,sunny,weekday,2024-11-28 10:22:37,,
Anohana Canteen,10:30,keys,high,3,sunny,weekday,2024-11-28 10:30:27,,
Library,11:05,wallet,medium,6,rainy,weekday,2024-11-28 11:05:44,,
New Building Canteen,11:09,bag,high,3,sunny,weekday,2024-11-28 11:09:16,,
3rd Floor Study Area,11:10,keys,medium,1,sunny,weekday,2024-11-28 11:10:36,,
Bird Nest Canteen,11:27,bag,high,7,cloudy,weekday,2024-11-28 11:27:51,,
P and S Cafeteria,11:38,wallet,high,9,rainy,weekday,2024-11-28 11:38:56,,
Anohana Canteen,11:39,keys,medium,7,rainy,weekday,2024-11-28 11:39:02,,
Basement Canteen,11:40,laptop,high,3,cloudy,weekday,2024-11-28 11:40:42,,
New Building Bio Laboratory outside space Storage Cabins,11:44,wallet,high,1,stormy,weekday,2024-11-28 11:44:25,,
Study Area 4th Floor New Building,12:02,phone,very_high,2,sunny,weekday,2024-11-28 12:02:50,,
Old Library Space,12:07,bag,very_high,2,cloudy,weekday,2024-11-28 12:07:03,,
Business Faculty Study Area,12:17,keys,very_high,1,stormy,weekday,2024-11-28 12:17:24,,
Juice Bar,12:21,laptop,very_high,6,cloudy,weekday,2024-11-28 12:21:03,,
Library outdoor Space storage,12:40,wallet,very_high,1,rainy,weekday,2024-11-28 12:40:57,,
Bird Nest Study Area,12:57,wallet,very_high,1,cloudy,weekday,2024-11-28 12:57:36,,
Bird Nest Canteen,12:59,other,very_high,10,cloudy,weekday,2024-11-28 12:59:47,,
P and S Cafeteria,13:01,phone,very_high,4,stormy,weekday,2024-11-28 13:01:20,,
Anohana Canteen,13:05,keys,very_high,9,sunny,weekday,2024-11-28 13:05:52,,
New Building Canteen,13:14,laptop,very_high,2,sunny,weekday,2024-11-28 13:14:13,,
Basement Canteen,13:50,wallet,very_high,4,rainy,weekday,2024-11-28 13:50:36,,
Juice Bar,13:55,laptop,very_high,3,rainy,weekday,2024-11-28 13:55:05,,
P and S Cafeteria,13:57,bag,very_high,11,sunny,weekday,2024-11-28 13:57:22,,
Library,13:59,document,very_high,3,rainy,weekday,2024-11-28 13:59:42,,
Bird Nest Canteen,14:29,keys,medium,4,sunny,weekday,2024-11-28 14:29:04,,
Business Faculty Study Area,14:31,keys,high,4,sunny,weekday,2024-11-28 14:31:46,,
Anohana Canteen,14:41,keys,high,3,sunny,weekday,2024-11-28 14:41:54,,
P and S Cafeteria,14:50,wallet,medium,8,cloudy,weekday,2024-11-28 14:50:09,,
3rd Floor Study Area,14:58,other,high,4,rainy,weekday,2024-11-28 14:58:22,,
Old Library Space,15:02,keys,high,2,sunny,weekday,2024-11-28 15:02:12,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,15:40,keys,high,1,stormy,weekday,2024-11-28 15:40:00,,
New Building Canteen,15:40,document,medium,3,sunny,weekday,2024-11-28 15:40:06,,
Anohana Canteen,15:43,laptop,medium,4,rainy,weekday,2024-11-28 15:43:03,,
Basement Canteen,16:00,other,medium,5,sunny,weekday,2024-11-28 16:00:37,,
Study Area 4th Floor New Building,16:08,keys,medium,3,stormy,weekday,2024-11-28 16:08:55,,
Library,16:13,other,medium,5,stormy,weekday,2024-11-28 16:13:22,,
P and S Cafeteria,16:15,bag,high,5,cloudy,weekday,2024-11-28 16:15:18,,
Bird Nest Canteen,16:17,keys,high,3,sunny,weekday,2024-11-28 16:17:54,,
Juice Bar,16:25,laptop,high,4,sunny,weekday,2024-11-28 16:25:23,,
Bird Nest Study Area,16:49,keys,medium,1,cloudy,weekday,2024-11-28 16:49:29,,
Old Library Space,17:20,document,medium,1,sunny,weekday,2024-11-28 17:20:04,,
Anohana Canteen,17:24,laptop,high,11,cloudy,weekday,2024-11-28 17:24:17,,
P and S Cafeteria,17:39,document,high,7,sunny,weekday,2024-11-28 17:39:47,,
Business Faculty Study Area,18:11,keys,low,2,cloudy,weekday,2024-11-28 18:11:33,,
P and S Cafeteria,18:26,document,low,5,sunny,weekday,2024-11-28 18:26:24,,
Library,18:58,bag,low,2,sunny,weekday,2024-11-28 18:58:17,,
Study Area 4th Floor New Building,19:11,laptop,low,1,sunny,weekday,2024-11-28 19:11:42,,
3rd Floor Study Area,19:23,laptop,low,1,rainy,weekday,2024-11-28 19:23:03,,
P and S Cafeteria,19:32,wallet,low,11,cloudy,weekday,2024-11-28 19:32:50,,
Bird Nest Study Area,19:46,wallet,low,5,sunny,weekday,2024-11-28 19:46:43,,
Library,21:48,laptop,low,1,rainy,weekday,2024-11-28 21:48:40,,
Anohana Canteen,08:02,other,very_high,10,rainy,weekday,2024-11-29 08:02:33,,
P and S Cafeteria,08:33,phone,very_high,8,stormy,weekday,2024-11-29 08:33:11,,
Old Library Space,08:49,document,very_high,1,rainy,weekday,2024-11-29 08:49:06,,
Bird Nest Canteen,09:13,document,medium,1,sunny,weekday,2024-11-29 09:13:39,,
Anohana Canteen,09:28,keys,high,6,stormy,weekday,2024-11-29 09:28:23,,
Library outdoor Space storage,09:33,bag,high,3,rainy,weekday,2024-11-29 09:33:30,,
3rd Floor Study Area,09:34,bag,high,2,cloudy,weekday,2024-11-29 09:34:46,,
New Building Canteen,09:35,bag,high,4,sunny,weekday,2024-11-29 09:35:50,,
Study Area 4th Floor New Building,09:36,other,high,5,cloudy,weekday,2024-11-29 09:36:19,,
Juice Bar,09:37,wallet,high,6,cloudy,weekday,2024-11-29 09:37:39,,
New Building Bio Laboratory outside space Storage Cabins,09:38,document,high,2,rainy,weekday,2024-11-29 09:38:17,,
Library,09:55,phone,medium,2,sunny,weekday,2024-11-29 09:55:48,,
P and S Cafeteria,09:56,laptop,high,11,sunny,weekday,2024-11-29 09:56:38,,
Bird Nest Canteen,10:31,laptop,high,3,sunny,weekday,2024-11-29 10:31:28,,
Bird Nest Study Area,10:40,laptop,medium,1,sunny,weekday,2024-11-29 10:40:07,,
Basement Canteen,10:47,other,high,4,cloudy,weekday,2024-11-29 10:47:56,,
Old Library Space,10:52,wallet,medium,5,sunny,weekday,2024-11-29 10:52:30,,
Business Faculty Study Area,10:54,laptop,high,3,stormy,weekday,2024-11-29 10:54:17,,
P and S Cafeteria,10:56,other,medium,7,cloudy,weekday,2024-11-29 10:56:25,,
Anohana Canteen,11:03,laptop,high,4,cloudy,weekday,2024-11-29 11:03:54,,
Study Area 4th Floor New Building,11:52,laptop,high,2,stormy,weekday,2024-11-29 11:52:34,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,11:57,phone,high,1,sunny,weekday,2024-11-29 11:57:11,,
Juice Bar,12:00,phone,very_high,3,sunny,weekday,2024-11-29 12:00:39,,
P and S Cafeteria,12:01,keys,very_high,5,sunny,weekday,2024-11-29 12:01:44,,
New Building Canteen,12:02,phone,very_high,6,stormy,weekday,2024-11-29 12:02:34,,
Anohana Canteen,12:09,phone,very_high,8,sunny,weekday,2024-11-29 12:09:24,,
Bird Nest Canteen,12:09,phone,very_high,4,sunny,weekday,2024-11-29 12:09:43,,
Basement Canteen,12:35,bag,very_high,10,sunny,weekday,2024-11-29 12:35:55,,
Library,13:00,phone,very_high,2,sunny,weekday,2024-11-29 13:00:19,,
Business Faculty Study Area,13:04,document,very_high,5,rainy,weekday,2024-11-29 13:04:32,,
P and S Cafeteria,13:05,bag,very_high,9,cloudy,weekday,2024-11-29 13:05:18,,
3rd Floor Study Area,13:10,wallet,very_high,1,rainy,weekday,2024-11-29 13:10:53,,
Main Building 5th floor outside space Storage Cabin,13:13,document,very_high,1,rainy,weekday,2024-11-29 13:13:44,,
Old Library Space,13:14,laptop,very_high,2,stormy,weekday,2024-11-29 13:14:51,,
Bird Nest Canteen,13:35,document,very_high,11,cloudy,weekday,2024-11-29 13:35:03,,
Anohana Canteen,13:38,keys,very_high,8,rainy,weekday,2024-11-29 13:38:25,,
New Building Canteen,13:44,wallet,very_high,1,sunny,weekday,2024-11-29 13:44:16,,
P and S Cafeteria,14:04,document,medium,9,stormy,weekday,2024-11-29 14:04:07,,
Basement Canteen,14:12,bag,high,7,cloudy,weekday,2024-11-29 14:12:23,,
Bird Nest Study Area,14:15,keys,medium,3,sunny,weekday,2024-11-29 14:15:27,,
New Building Bio Laboratory outside space Storage Cabins,14:23,phone,medium,1,sunny,weekday,2024-11-29 14:23:27,,
Anohana Canteen,14:33,wallet,medium,3,sunny,weekday,2024-11-29 14:33:55,,
Juice Bar,14:42,other,medium,5,sunny,weekday,2024-11-29 14:42:13,,
Library,15:04,keys,high,2,cloudy,weekday,2024-11-29 15:04:55,,
Business Faculty Study Area,15:11,phone,high,4,cloudy,weekday,2024-11-29 15:11:42,,
Bird Nest Canteen,15:15,keys,medium,8,cloudy,weekday,2024-11-29 15:15:14,,
Old Library Space,15:15,bag,medium,4,sunny,weekday,2024-11-29 15:15:57,,
P and S Cafeteria,15:18,phone,high,10,rainy,weekday,2024-11-29 15:18:28,,
Library outdoor Space storage,15:20,keys,high,2,rainy,weekday,2024-11-29 15:20:03,,
New Building Canteen,15:48,laptop,high,3,sunny,weekday,2024-11-29 15:48:22,,
Anohana Canteen,16:01,laptop,medium,9,sunny,weekday,2024-11-29 16:01:20,,
Study Area 4th Floor New Building,16:01,document,high,1,sunny,weekday,2024-11-29 16:01:30,,
Basement Canteen,16:03,bag,high,3,sunny,weekday,2024-11-29 16:03:56,,
P and S Cafeteria,16:09,other,medium,8,rainy,weekday,2024-11-29 16:09:00,,
Juice Bar,16:19,other,high,5,sunny,weekday,2024-11-29 16:19:50,,
Bird Nest Canteen,16:31,wallet,high,8,cloudy,weekday,2024-11-29 16:31:37,,
3rd Floor Study Area,16:31,bag,high,3,sunny,weekday,2024-11-29 16:31:58,,
P and S Cafeteria,17:04,laptop,high,6,sunny,weekday,2024-11-29 17:04:51,,
Library,17:13,document,high,5,sunny,weekday,2024-11-29 17:13:56,,
Old Library Space,17:21,other,high,1,stormy,weekday,2024-11-29 17:21:29,,
Anohana Canteen,17:25,document,medium,4,cloudy,weekday,2024-11-29 17:25:32,,
Bird Nest Study Area,17:35,document,medium,2,sunny,weekday,2024-11-29 17:35:22,,
Business Faculty Study Area,17:39,laptop,high,2,stormy,weekday,2024-11-29 17:39:07,,
Bird Nest Canteen,17:44,phone,medium,6,sunny,weekday,2024-11-29 17:44:05,,
P and S Cafeteria,18:04,keys,low,9,cloudy,weekday,2024-11-29 18:04:10,,
Study Area 4th Floor New Building,18:19,document,low,7,sunny,weekday,2024-11-29 18:19:02,,
P and S Cafeteria,18:59,keys,low,7,rainy,weekday,2024-11-29 18:59:33,,
3rd Floor Study Area,19:51,phone,low,1,cloudy,weekday,2024-11-29 19:51:00,,
P and S Cafeteria,19:53,bag,low,2,rainy,weekday,2024-11-29 19:53:03,,
Library,20:00,laptop,low,3,sunny,weekday,2024-11-29 20:00:37,,
P and S Cafeteria,08:21,other,very_high,5,sunny,weekend,2024-11-30 08:21:05,,
Bird Nest Canteen,08:32,document,high,11,rainy,weekend,2024-11-30 08:32:03,,
Bird Nest Study Area,08:53,bag,very_high,3,cloudy,weekend,2024-11-30 08:53:11,,
Anohana Canteen,08:53,keys,high,11,sunny,weekend,2024-11-30 08:53:34,,
New Building Bio Laboratory outside space Storage Cabins,09:00,keys,very_high,1,stormy,weekend,2024-11-30 09:00:20,,
New Building Canteen,09:06,phone,very_high,3,sunny,weekend,2024-11-30 09:06:40,,
Juice Bar,09:15,document,high,3,sunny,weekend,2024-11-30 09:15:13,,
Library,09:17,keys,high,3,cloudy,weekend,2024-11-30 09:17:15,,
P and S Cafeteria,09:20,keys,high,6,sunny,weekend,2024-11-30 09:20:11,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,09:25,phone,high,1,sunny,weekend,2024-11-30 09:25:37,,
3rd Floor Study Area,09:55,laptop,high,4,cloudy,weekend,2024-11-30 09:55:13,,
Bird Nest Canteen,09:56,laptop,very_high,3,sunny,weekend,2024-11-30 09:56:44,,
Main Building 5th floor outside space Storage Cabin,10:05,bag,high,3,stormy,weekend,2024-11-30 10:05:53,,
